command,products,topic
show management-vlan,['cbs_220'],VLAN Commands
show memory statistics,['cbs_220'],System Management Commands
show mirror-configuration service,"['cbs_250', 'cbs_350', 'cat_1300']",File System Commands
show monitor,['cbs_220'],Port Monitor Commands
show monitor session,"['cbs_250', 'cbs_350', 'cat_1300']",SPAN and RSPAN Commands
show parser macro,"['cbs_250', 'cbs_350', 'cat_1300']",Macro Commands
show passwords configuration,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
show platform certificate,['cat_1300'],System Management Commands
show platform hardware integrity,['cat_1300'],System Management Commands
show platform integrity,['cat_1300'],System Management Commands
show pnp,"['cbs_250', 'cbs_350', 'cat_1300']",PnP Commands
show policy-map,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
show policy-map interface,['cbs_220'],QoS Commands
show port leds configuration,['cbs_220'],System Management Commands
show port-security,['cbs_220'],Address Table Commands
show ports jumbo-frame,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
show ports leds configuration,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show ports security,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
show ports security addresses,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
show power inline,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
show power inline consumption,['cbs_220'],Power over Ethernet (PoE) Commands
show power inline monitor consumption,"['cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
show power inline savings,"['cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
show privilege,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
show qos,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
show qos aggregate-policer,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
show qos interface,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
show qos interfaces,['cbs_220'],QoS Commands
show qos map,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
show qos queueing,['cbs_220'],QoS Commands
show qos statistics,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
show qos wrr-queue wrtd,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
show queue statistics,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
show radius server accounting,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
show radius server configuration,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
show radius server group,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
show radius server nas secret,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
show radius server rejected users,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
show radius server statistics,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
show radius server unknown nas,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
show radius server user,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
show radius-server,['cbs_220'],RADIUS Commands
show radius-server default-param,['cbs_220'],RADIUS Commands
show radius-servers,"['cbs_350', 'cat_1300']",RADIUS Commands
show radius-servers key,"['cbs_350', 'cat_1300']",RADIUS Commands
show rate-limit interface,"['cbs_250', 'cbs_350', 'cat_1300']",Rate Limit and Storm Commands
show rate-limit vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Rate Limit and Storm Commands
show reload,"['cbs_250', 'cbs_250', 'cbs_350', 'cbs_350', 'cat_1300', 'cat_1300']",System Management Commands
show rmon alarm,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",RMON commands
show rmon alarm-table,"['cbs_250', 'cbs_350', 'cat_1300']",RMON commands
show rmon collection stats,"['cbs_250', 'cbs_350', 'cat_1300']",RMON commands
show rmon event,['cbs_220'],RMON Commands
show rmon event log,['cbs_220'],RMON Commands
show rmon events,"['cbs_250', 'cbs_350', 'cat_1300']",RMON commands
show rmon history,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",RMON commands
show rmon log,"['cbs_250', 'cbs_350', 'cat_1300']",RMON commands
show rmon statistics,"['cbs_250', 'cbs_350', 'cat_1300']",RMON commands
show rmon statistics interfaces,['cbs_220'],RMON Commands
show route-map,"['cbs_350', 'cat_1300']",Route Map Commands
show router hardware-routing status,"['cbs_250', 'cbs_350', 'cat_1300']",Router Resources Commands
show running-config,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",File System Commands
show security-suite configuration,"['cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
show security-suite dos,['cbs_220'],Security DoS Commands
show security-suite dos interfaces,['cbs_220'],Security DoS Commands
show security-suite syn protection,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
show services tcp-udp,"['cbs_220', 'cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show sessions,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show sflow configuration,"['cbs_350', 'cat_1300']",sFlow Commands
show snmp,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
show snmp engineID,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
show snmp filters,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
show snmp groups,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
show snmp users,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
show snmp views,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
show snmp-server,['cbs_220'],SNMP Commands
show snmp-server community,['cbs_220'],SNMP Commands
show snmp-server engineid,['cbs_220'],SNMP Commands
show snmp-server group,['cbs_220'],SNMP Commands
show snmp-server host,['cbs_220'],SNMP Commands
show snmp-server trap,['cbs_220'],SNMP Commands
show snmp-server user,['cbs_220'],SNMP Commands
show snmp-server view,['cbs_220'],SNMP Commands
show sntp configuration,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
show sntp status,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
show software versions,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show spanning-tree,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
show spanning-tree bpdu,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
show spanning-tree interfaces,['cbs_220'],STP Commands
show spanning-tree mst,['cbs_220'],STP Commands
show spanning-tree mst configuration,['cbs_220'],STP Commands
show spanning-tree mst interfaces,['cbs_220'],STP Commands
show ssd session,"['cbs_250', 'cbs_350', 'cat_1300']",SSD Commands
show stack,"['cbs_350', 'cat_1300']",Stack Commands
show stack configuration,"['cbs_350', 'cat_1300']",Stack Commands
show stack links,"['cbs_350', 'cat_1300']",Stack Commands
show startup-config,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",File System Commands
show storm-control,['cbs_220'],Ethernet Configuration Commands
show storm-control interface,"['cbs_250', 'cbs_350', 'cat_1300']",Rate Limit and Storm Commands
show surveillance-vlan interface,['cat_1300'],Surveillance VLAN
show switchport monitor,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
show syslog-servers,"['cbs_250', 'cbs_350', 'cat_1300']",SYSLOG Commands
show system,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show system fans,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show system id,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show system languages,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show system resources,"['cbs_250', 'cbs_350', 'cat_1300']",Router Resources Commands
show system sensors,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show system tcam utilization,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show tacacs,"['cbs_220', 'cbs_350', 'cat_1300']",TACACS+ Commands
show tacacs default-config,['cbs_220'],TACACS+ Commands
show tacacs key,"['cbs_350', 'cat_1300']",TACACS+ Commands
show tech-support,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show time-range,"['cbs_220', 'cbs_250', 'cbs_250', 'cbs_350', 'cbs_350', 'cat_1300', 'cat_1300']",Clock Commands
show udld,"['cbs_350', 'cat_1300']",UDLD Commands
show username,"['cbs_220', 'cbs_220']",System Management Commands
show users,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show users accounts,"['cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
show users login-history,"['cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
show version,['cbs_220'],System Management Commands
show vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
show vlan default-vlan,['cbs_220'],VLAN Commands
show vlan internal usage,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
show vlan macs-groups,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
show vlan multicast-tv,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
show vlan private-vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
show vlan protocols-groups,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
show vlan remote-span,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SPAN and RSPAN Commands
show vlan subnets-groups,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
show voice vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
show voice vlan local,"['cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
shutdown,"['cbs_220', 'cbs_250', 'cbs_350', 'cbs_350', 'cat_1300', 'cat_1300', 'cat_1300']",RIP Commands
silent-time,['cbs_220'],Line Commands
smartport storm-control,"['cbs_250', 'cbs_350', 'cat_1300']",Smartport Commands
snmp trap link-status,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server,['cbs_220'],SNMP Commands
snmp-server community,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server community-group,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server contact,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server enable traps,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server engineID local,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server engineID remote,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server engineid,['cbs_220'],SNMP Commands
snmp-server engineid remote,['cbs_220'],SNMP Commands
snmp-server filter,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server group,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server host,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server location,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server server,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server set,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server source-interface,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server source-interface-ipv6,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server trap,['cbs_220'],SNMP Commands
snmp-server trap authentication,"['cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server user,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
snmp-server view,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SNMP Commands
sntp anycast client enable,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp authenticate,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp authentication-key,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp broadcast client enable,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp client enable,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp client enable (interface),"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp source-interface,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp source-interface-ipv6,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp trusted-key,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp unicast client enable,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
sntp unicast client poll,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
spanning-tree,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree bpdu (Global),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree bpdu (Interface),"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree bpdu-filter (Interface),['cbs_220'],STP Commands
spanning-tree bpdu-guard (Interface),['cbs_220'],STP Commands
spanning-tree bpduguard,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree cost,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree cost (Interface),['cbs_220'],STP Commands
spanning-tree disable,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree forward-time,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree guard root,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree hello-time,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree link-type,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree link-type (Interface),['cbs_220'],STP Commands
spanning-tree loopback-guard,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree max-age,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree max-hops,['cbs_220'],STP Commands
spanning-tree mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree mst configuration,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree mst cost,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree mst instance,['cat_1300'],Spanning Tree Commands
spanning-tree mst max-hops,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree mst port-priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree mst priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree pathcost method,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree port-priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree portfast,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree tx-hold-count,['cbs_220'],STP Commands
spanning-tree vlan cost,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree vlan forward-time,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree vlan hello-time,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree vlan max-age,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree vlan port-priority,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
spanning-tree vlan priority,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
speed,"['cbs_220', 'cbs_220', 'cbs_250', 'cbs_350', 'cbs_350', 'cat_1300', 'cat_1300']",Line Commands
ssd config,"['cbs_250', 'cbs_350', 'cat_1300']",SSD Commands
ssd file integrity control,"['cbs_250', 'cbs_350', 'cat_1300']",SSD Commands
ssd file passphrase control,"['cbs_250', 'cbs_350', 'cat_1300']",SSD Commands
ssd rule,"['cbs_250', 'cbs_350', 'cat_1300']",SSD Commands
ssd session read,"['cbs_250', 'cbs_350', 'cat_1300']",SSD Commands
ssh,"['cbs_250', 'cbs_350', 'cat_1300']",IP System Management Commands
stack configuration,"['cbs_350', 'cat_1300']",Stack Commands
stack unit,"['cbs_350', 'cat_1300']",Stack Commands
storm-control,"['cbs_250', 'cbs_350', 'cat_1300']",Rate Limit and Storm Commands
storm-control action,['cbs_220'],Ethernet Configuration Commands
storm-control broadcast,['cbs_220'],Ethernet Configuration Commands
storm-control broadcast level,['cbs_220'],Ethernet Configuration Commands
storm-control enable,['cbs_220'],Ethernet Configuration Commands
storm-control ifg,['cbs_220'],Ethernet Configuration Commands
storm-control unit,['cbs_220'],Ethernet Configuration Commands
storm-control unknown-multicast,['cbs_220'],Ethernet Configuration Commands
storm-control unknown-multicast level,['cbs_220'],Ethernet Configuration Commands
storm-control unknown-unicast,['cbs_220'],Ethernet Configuration Commands
storm-control unknown-unicast level,['cbs_220'],Ethernet Configuration Commands
surveillance-vlan aging-timeout,['cat_1300'],Surveillance VLAN
surveillance-vlan cos,['cat_1300'],Surveillance VLAN
surveillance-vlan enable (Interface),['cat_1300'],Surveillance VLAN
surveillance-vlan vlan-id,['cat_1300'],Surveillance VLAN
switchport,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport access multicast-tv vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport access vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport customer multicast-tv vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport customer vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport default-vlan tagged,['cbs_220'],VLAN Commands
switchport dot1q-tunnel vlan,['cbs_220'],VLAN Commands
switchport forbidden default-vlan,['cbs_220'],VLAN Commands
switchport forbidden vlan,['cbs_220'],VLAN Commands
switchport general acceptable-frame-type,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport general allowed vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport general forbidden vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport general ingress-filtering disable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport general map macs-group vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport general map protocols-group vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport general map subnets-group vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport general pvid,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport mode trunk uplink,['cbs_220'],VLAN Commands
switchport nni ethtype,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport port-security,['cbs_220'],Address Table Commands
switchport port-security mode maximum,['cbs_220'],Address Table Commands
switchport private-vlan host-association,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport private-vlan mapping,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport protected,['cbs_220'],VLAN Commands
switchport protected-port,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport trunk allowed vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport trunk native vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport vlan tpid,['cbs_220'],VLAN Commands
switchport vlan-mapping one-to-one,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport vlan-mapping tunnel,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport vlan-mapping tunnel l2protocol cos,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport vlan-mapping tunnel l2protocol cos interface,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport vlan-mapping tunnel l2protocol drop-threshold,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport vlan-mapping tunnel l2protocol forward,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
switchport vlan-mapping tunnel l2protocol vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
system light,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
system recovery,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
system reset-button disable,['cat_1300'],System Management Commands
system resources,"['cbs_250', 'cbs_350', 'cat_1300']",Router Resources Commands
tacacs-server default-param,['cbs_220'],TACACS+ Commands
tacacs-server host,"['cbs_220', 'cbs_350', 'cat_1300']",TACACS+ Commands
tacacs-server host source-interface,"['cbs_350', 'cat_1300']",TACACS+ Commands
tacacs-server host source-interface-ipv6,"['cbs_350', 'cat_1300']",TACACS+ Commands
tacacs-server key,"['cbs_350', 'cat_1300']",TACACS+ Commands
tacacs-server timeout,"['cbs_350', 'cat_1300']",TACACS+ Commands
telnet,"['cbs_250', 'cbs_350', 'cat_1300']",IP System Management Commands
terminal datadump,"['cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
terminal history,"['cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
terminal history size,"['cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
terminal length,['cbs_220'],User Interface Commands
terminal prompt,"['cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
terminal width,"['cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
test cable-diagnostics tdr,"['cbs_250', 'cbs_350', 'cat_1300']",PHY Commands
time-range,"['cbs_220', 'cbs_250', 'cbs_250', 'cbs_350', 'cbs_350', 'cat_1300', 'cat_1300']",Clock Commands
time-server,"['cbs_350', 'cat_1300']",DHCP Server Commands
traceroute,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",IP System Management Commands
traffic-shape,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
traffic-shape queue,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
trust,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
trust-shape (Interface),['cbs_220'],QoS Commands
trusted-port (IPv6 Source Guard),"['cbs_350', 'cat_1300']",IPv6 First Hop Security
tunnel destination,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Tunnel Commands
tunnel isatap robustness,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Tunnel Commands
tunnel isatap solicitation-interval,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Tunnel Commands
udld,"['cbs_350', 'cat_1300']",UDLD Commands
udld message time,"['cbs_350', 'cat_1300']",UDLD Commands
udld port,"['cbs_350', 'cat_1300']",UDLD Commands
user-key,"['cbs_250', 'cbs_350', 'cat_1300']","Telnet, SSH and Slogin Commands"
username,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
username (dot1x credentials),"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
validate source-mac,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
vlan,"['cbs_220', 'cbs_250', 'cbs_250', 'cbs_350', 'cbs_350', 'cat_1300', 'cat_1300']",VLAN Commands
vlan database,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
vlan default-vlan,['cbs_220'],VLAN Commands
vlan prohibit-internal-usage,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
voice vlan aging-timeout,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
voice vlan cos,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
voice vlan cos mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
voice vlan dscp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
voice vlan enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
voice vlan id,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
voice vlan mode,['cbs_220'],Voice VLAN Commands
voice vlan oui-table,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
voice vlan refresh,"['cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
voice vlan state,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
voice vlan vpt,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Voice VLAN Commands
write,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",File System Commands
wrr-queue bandwidth,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
wrr-queue cos-map,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
