command,description
ipv6 hop-limit,"Use the ipv6 hop-limit command in Global Configuration mode to configure the maximum number of hops used in all IPv6 packets that are originated by the router. To return the hop limit to its default value, use the no form of this command."
ipv6 icmp error-interval,"Use the ipv6 icmp error-interval command in Global Configuration mode to configure the interval and bucket size for IPv6 ICMP error messages. To return the interval to its default setting, use the no form of this command."
ipv6 link-local default zone,Use the Ipv6 link-local default zone command to configure an interface to egress a link local packet without a specified interface or with the default zone 0. Use the no form of this command to return the default link local interface to the default value.
ipv6 nd advertisement-interval,"Use the ipv6 nd advertisement-interval in Interface Configuration mode to configure the advertisement interval option in router advertisements (RAs). To reset the interval to the default value, use the no form of this command."
ipv6 nd dad attempts,"Use the ipv6 nd dad attempts command in Interface Configuration mode to configure the number of consecutive neighbor solicitation messages that are sent on an interface while duplicate address detection is performed on the Unicast IPv6 addresses of the interface. To return the number of messages to the default value, use the no form of this command."
ipv6 nd hop-limit,"Use the ipv6 nd hop-limit command in Global Configuration mode to configure the maximum number of hops used in router advertisements. To return the hop limit to its default value, use the no form of this command."
ipv6 nd managed-config-flag,"Use the ipv6 nd managed-config-flag command in Interface Configuration mode to set the “managed address configuration flag” in IPv6 router advertisements. To clear the flag from IPv6 router advertisements, use the no form of this command."
ipv6 nd prefix,"Use the ipv6 nd prefix command in Interface Configuration mode to configure which IPv6 prefixes are included in IPv6 Neighbor Discovery (ND) router advertisements. To remove the prefixes, use the no form of this command."
ipv6 nd ra interval,"Use the ipv6 nd ra interval command in Interface Configuration mode to configure the interval between IPv6 router advertisement (RA) transmissions on an interface. To restore the default interval, use the no form of this command."
ipv6 nd ra lifetime,"Use the ipv6 nd ra lifetime command in Interface Configuration mode to configure the Router Lifetime value in IPv6 router advertisements on an interface. To restore the default lifetime, use the no form of this command."
ipv6 nd ra suppress,"Use the ipv6 nd ra suppress command in Interface Configuration mode to suppress IPv6 router advertisement transmissions on an interface. To re-enable the sending of IPv6 router advertisement transmissions on an interface, use the no form of this command."
ipv6 nd reachable-time,"Use the ipv6 nd reachable-time command in Interface Configuration mode to configure the amount of time that a remote IPv6 node is considered reachable after some reachability confirmation event has occurred. To restore the default time, use the no form of this command."
ipv6 nd router-preference,"Use the ipv6 nd router-preference command in Interface Configuration mode to configure a default router preference (DRP) for the router on a specific interface. To return to the default DRP, use the no form of this command."
ipv6 redirects,"Use the ipv6 redirects command in Interface Configuration mode to enable the sending of ICMP IPv6 redirect messages to re-send a packet through the same interface on which the packet was received. To disable the sending of redirect messages, use the no form of this command."
ipv6 route,"Use the ipv6 route command in Global Configuration mode to establish static IPv6 routes. To remove a previously configured static route, use the no form of this command."
ipv6 unicast-routing,"Use the ipv6 unicast-routing command in Global Configuration mode to enable the forwarding of IPv6 Unicast datagrams. To disable the forwarding of IPv6 Unicast datagrams, use the no form of this command."
ipv6 unreachables,"Use the ipv6 unreachables command in Interface Configuration mode to enable the generation of Internet Control Message Protocol for IPv6 (ICMPv6) unreachable messages for any packets arriving on a specified interface. To prevent the generation of unreachable messages, use the no form of this command."
show ipv6 interface,Use the show ipv6 interface command in user EXEC or privileged EXEC mode to display the usability status of interfaces configured for IPv6.
show ipv6 link-local default zone,Use the show ipv6 link-local default zone command in user EXEC or privileged EXEC mode to display the IPv6 link local default zone.
show ipv6 nd prefix,Use the show ipv6 nd prefix command in user EXEC or privileged EXEC mode to display IPv6 prefixes included in IPv6 Neighbor Discovery (ND) router advertisements.
show ipv6 neighbors,Use the show ipv6 neighbors command in User EXEC or Privileged EXEC mode to display IPv6 neighbor discovery (ND) cache information.
show ipv6 route,Use the show ipv6 route command in user EXEC or privileged EXEC mode to display the current contents of the IPv6 routing table.
show ipv6 route summary,Use the show ipv6 route summary command in User EXEC or Privileged EXEC mode to display the current contents of the IPv6 routing table in summary format.
show ipv6 static,Use the show ipv6 static command in user EXEC or privileged EXEC mode to display the current static routes of the IPv6 routing table.
address-config,"To specify allowed configuration methods of global IPv6 addresses within an IPv6 Neighbor Binding policy, use the address-config command in Neighbor Binding Policy Configuration mode. To return to the default, use the no form of this command."
address-prefix-validation,"To define the bound address prefix validation within an IPv6 Neighbor Binding policy, use the address-prefix-validation command in Neighbor Binding Policy Configuration mode. To return to the default, use the no form of this command."
clear ipv6 first hop security counters,"To clear IPv6 First Hop Security port counters, use the clear ipv6 first hop security counters command in privileged EXEC mode."
clear ipv6 first hop security error counters,"To clear IPv6 First Hop Security global error counters, use the clear ipv6 first hop security error counters command in privileged EXEC mode."
clear ipv6 neighbor binding prefix table,"To remove dynamic entries from the Neighbor Prefix table, use the clear ipv6 neighbor binding prefix table command in Privilege EXEC configuration mode."
clear ipv6 neighbor binding table,"To remove dynamic entries from the Neighbor Binding table, use the clear ipv6 neighbor binding table command in Privilege EXEC configuration mode."
device-role (IPv6 DHCP Guard),"To specify the role of the device attached to the port within an IPv6 DHCP Guard policy, use the device-role command in IPv6 DHCPv6 Guard Policy Configuration mode. To return to the default, use the no form of this command."
device-role (Neighbor Binding),"To specify the role of the device attached to the port within an IPv6 Neighbor Binding policy, use the device-role command within IPv6 Neighbor Binding Policy Configuration mode. To return to the default, use the no form of this command."
device-role (RA Guard Policy),"To specify the role of the device attached to the port within an IPv6 RA Guard policy, use the device-role command in RA Guard Policy Configuration mode. To returned to the default, use the no form of this command."
device-role (ND Inspection Policy),"To specify the role of the device attached to the port within an IPv6 ND Inspection policy, use the device-role command in ND Inspection Policy Configuration mode. To disable this function, use the no form of this command."
drop-unsecure,"To enable dropping messages with no or invalid options or an invalid signature within an IPv6 ND Inspection policy, use the drop-unsecure command in ND Inspection Policy Configuration mode. To return to the default, use the no form of this command."
hop-limit,"To enable the verification of the advertised Cur Hop Limit value in RA messages within an IPv6 RA Guard policy, use the hop-limit command in RA Guard Policy Configuration mode. To return to the default, use the no form of this command."
ipv6 dhcp guard,"To enable the DHCPv6 guard feature on a VLAN, use the ipv6 dhcp guard command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 dhcp guard attach-policy (port mode),"To attach a DHCPv6 Guard policy to a specific port, use the ipv6 dhcp guard attach-policy command in Interface Configuration mode. To return to the default, use the no form of this command."
ipv6 dhcp guard attach-policy (VLAN mode),"To attach a DHCPv6 Guard policy to a specified VLAN, use the ipv6 dhcp guard attach-policy command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 dhcp guard policy,"To define a DHCP Guard policy and place the switch in DHCPv6 Guard Policy Configuration mode, use the ipv6 dhcp guard policy command in Global Configuration mode. To remove the DHCPv6 guard policy, use the no form of this command."
ipv6 dhcp guard preference,"To globally enable verification of the preference in messages sent by DHCPv6 servers, use the ipv6 dhcp guard preference command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 first hop security,"To globally enable IPv6 First Hop Security on a VLAN, use the ipv6 first hop security command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 first hop security attach-policy (port mode),"To attach an IPv6 First Hop Security policy to a specific port, use the ipv6 first hop security attach-policy command in Interface Configuration mode. To return to the default, use the no form of this command."
ipv6 first hop security attach-policy (VLAN mode),"To attach an IPv6 First Hop Security policy to a specified VLAN, use the ipv6 first hop security attach-policy command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 first hop security logging packet drop,"To globally enable the logging of dropped packets by the IPv6 First Hop Security feature, use the ipv6 first hop security logging packet drop command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 first hop security policy,"To define an IPv6 First Hop Security policy and place the switch in IPv6 First Hop Security Policy Configuration mode, use the ipv6 first hop security policy command in Global Configuration mode. To remove the IPv6 First Hop Security policy, use the no form of this command."
ipv6 nd inspection,"To enable the IPv6 Neighbor Discovery (ND) Inspection feature on a VLAN, use the ipv6 nd inspection command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 nd inspection attach-policy (port mode),"To attach an ND Inspection policy to a specific port, use the ipv6 nd inspection attach-policy command in Interface Configuration mode. To return to the default, use the no form of this command."
ipv6 nd inspection attach-policy (VLAN mode),"To attach an ND Inspection policy to a specified VLAN, use the ipv6 nd inspection attach-policy command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 nd inspection drop-unsecure,"To globally enable dropping messages with no CGA and RSA Signature options, use the ipv6 nd inspection drop-unsecure command in Global Configuration mode. To disable this function, use the no form of this command."
ipv6 nd inspection policy,"To define an ND Inspection policy and place the switch in IPv6 ND Inspection Policy Configuration mode, use the ipv6 nd inspection policy command in Global Configuration mode. To remove the ND Inspection policy, use the no form of this command."
ipv6 nd inspection sec-level minimum,"To globally specify the minimum security level value, use the ipv6 nd inspection sec-level minimum command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 nd inspection validate source-mac,"To globally enable checking source MAC address against the link-layer address in the source/target link-layer option, use the ipv6 nd inspection validate source-mac command in Global Configuration mode. To disable this function, use the no form of this command."
ipv6 nd raguard,"To globally enable the Router Advertisements (RA) guard feature on a VLAN, use the ipv6 nd raguard command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 nd raguard attach-policy (port mode),"To attach an RA Guard policy to a specific port, use the ipv6 nd raguard attach-policy command in Interface Configuration mode. To return to the default, use the no form of this command."
ipv6 nd raguard attach-policy (VLAN mode),"To attach an RA Guard policy to a specified VLAN, use the ipv6 nd raguard attach-policy command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 nd raguard hop-limit,"To globally enable verification of the advertised Cur Hop Limit value in RA messages, use the ipv6 nd raguard hop-limit command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 nd raguard managed-config-flag,"To globally enable verification of the advertised the Managed Address Configuration flag in RA messages, use the ipv6 nd raguard managed-config-flag command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 nd raguard other-config-flag,"To globally enable verification of the advertised “Other Configuration” flag in RA messages, use the ipv6 nd raguard other-config-flag command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 nd raguard policy,"To define an RA Guard policy name and place the switch in IPv6 RA Guard Policy Configuration mode, use the ipv6 nd raguard policy command in Global Configuration mode. To remove the RA Guard policy, use the no form of this command."
ipv6 nd raguard router-preference,"To globally enable verification of the advertised Default Router Preference value in RA messages, use the ipv6 nd raguard router-preference command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 neighbor binding,"To globally enable the Neighbor Binding (NB) integrity feature on a VLAN, use the ipv6 neighbor binding command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 neighbor binding address-config,"To specify allowed configuration methods of global IPv6 addresses, use the ipv6 neighbor binding address-config command in Global Configuration mode. To return to the default setting, use the no form of this command."
ipv6 neighbor binding address-prefix,"To define a static prefix for global IPv6 addresses bound from NDP messages, use the ipv6 neighbor binding address-prefix command in Global Configuration mode. To delete the prefix, use the no form of this command."
ipv6 neighbor binding address-prefix-validation,"To globally enable validation of a bound IPv6 address against the Neighbor Prefix table, use the ipv6 neighbor binding address-prefix-validation command in Global Configuration mode. To disable this feature, use the no form of this command."
ipv6 neighbor binding attach-policy (port mode),"To attach a Neighbor Binding policy to a specific port, use the ipv6 neighbor binding attach-policy command in Interface Configuration mode. To return to the default, use the no form of this command."
ipv6 neighbor binding attach-policy (VLAN mode),"To attach a Neighbor Binding policy to a specific VLAN, use the ipv6 neighbor binding attach-policy command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 neighbor binding lifetime,"To globally change the default of the Neighbor Binding table entry lifetime, use the ipv6 neighbor binding lifetime command in Global Configuration mode. To return to the default setting, use the no form of this command."
ipv6 neighbor binding max-entries,"To globally specify the maximum number of dynamic entries that are allowed to be inserted in the Binding table cache, use the ipv6 neighbor binding max-entries command in Global Configuration mode. To return to the default, use the no form of this command."
ipv6 neighbor binding policy,"To define a Neighbor Binding policy and place the switch in IPv6 Neighbor Binding Policy Configuration mode, use the ipv6 neighbor binding policy command in Global Configuration mode. To remove the Neighbor Binding policy, use the no form of this command."
ipv6 neighbor binding static,"To add a static entry to the Neighbor Binding table, use the ipv6 neighbor binding static command in Global Configuration mode. To remove the static entry, use the no form of this command."
ipv6 source guard,"To enable the IPv6 Source Guard feature on a VLAN, use the ipv6 source guard command in VLAN Configuration mode. To return to the default, use the no form of this command."
ipv6 source guard attach-policy (port mode),"To attach an IPv6 Source Guard policy to a specific port, use the ipv6 source guard attach-policy command in Interface Configuration mode. To return to the default, use the no form of this command."
ipv6 source guard policy,"To define an IPv6 Source Guard policy name and place the user in IPv6 Source Guard Configuration, use the ipv6 source guard policy command in Global Configuration mode. To remove the IPv6 Source Guard policy name, use the no form of this command."
logging binding,"To enable the logging of Binding table main events within an IPv6 Neighbor Binding policy, use the logging binding command in Neighbor Binding Policy Configuration mode. To return to the default, use the no form of this command."
logging packet drop,"To enable the logging of dropped packets within an IPv6 First Hop Security policy, use the logging packet drop command in IPv6 First Hop Security Policy Configuration mode. To return to the default, use the no form of this command."
managed-config-flag,"To enable verification of the advertised Managed Address Configuration flag within an IPv6 RA Guard policy, use the managed-config-flag command in RA Guard Policy Configuration mode. To return to the default, use the no form of this command."
match ra address,"To enable verification of the router's IPv6 address in received RA messages within an IPv6 RA Guard policy, use the match ra address command in RA Guard Policy Configuration mode. To return to the default, use the no form of this command."
match ra prefixes,"To enable verification of the advertised prefixes in received RA messages within an IPv6 RA Guard policy, use the match ra prefixes command in RA Guard Policy Configuration mode. To return to the default, use the no form of this command."
match reply,"To enable verification of the assigned IPv6 addressed in messages sent by DHCPv6 servers/relays to a configured prefix list within a DHCPv6 Guard policy, use the match reply command in DHCPv6 Guard Policy Configuration mode. To return to the default, use the no form of this command."
match server address,"To enable verification of the source IPv6 address in messages sent by DHCPv6 servers or DHCPv6 Relays to a configured prefix list within a DHCPv6 Guard policy, use the match server address command in DHCPv6 Guard Policy Configuration mode. To return to the default, use the no form of this command."
max-entries,"To define the maximum number of dynamic entries that can be inserted in the Binding table cache within an IPv6 Neighbor Binding policy, use the max-entries command in Neighbor Binding Policy Configuration mode.To return to the default, use the no form of this command."
other-config-flag,"To enable the verification of the advertised the Other Configuration flag in RA messages within an IPv6 RA Guard policy, use the other-config-flag command in RA Guard Policy Configuration mode. To return to the default, use the no form of this command."
preference,"To enable verification of the preference in messages sent by DHCPv6 servers within a DHCPv6 Guard policy, use the preference command in DHCPv6 Guard Policy Configuration mode. To return to the default, use the no form of this command."
router-preference,"To enable verification of advertised Default Router Preference value in RA messages within an IPv6 RA Guard policy, use the router-preference command in RA Guard Policy Configuration mode. To return to the default, use the no form of this command."
sec-level minimum,"To specify the minimum security level value within an Ipv6 ND Inspection policy, use the sec-level minimum command in ND Inspection policy Configuration mode. To return to the default, use the no form of this command."
show ipv6 dhcp guard,"To display DHCPv6 Guard global configuration, use the show ipv6 dhcp guard command in Privilege EXEC configuration mode."
show ipv6 dhcp guard policy,"To display DHCPv6 guard policies on all ports configured with the DHCPv6 guard feature, use the show ipv6 dhcp guard policy command in privileged EXEC mode."
show ipv6 first hop security,"To display all IPv6 First Hop Security global configuration, use the show ipv6 first hop security command in Privilege EXEC configuration mode."
show ipv6 first hop security active policies,"To display information about the policies applied to the port and to the VLAN, use the show ipv6 first hop security active policies command in privileged EXEC mode."
show ipv6 first hop security attached policies,"To display information about the policies attached to the port and to the VLAN, use the show ipv6 first hop security attached policies command in privileged EXEC mode."
show ipv6 first hop security counters,"To display information about the packets counted by the port counter, use the show ipv6 first hop security counters command in privileged EXEC mode."
show ipv6 first hop security error counters,"To display global error counters, use the show ipv6 first hop security error counters command in privileged EXEC mode."
show ipv6 first hop security policy,"To display IPv6 First Hop Security policies on all ports configured with the IPv6 First Hop Security feature, use the show ipv6 first hop security policy command in privileged EXEC mode."
show ipv6 nd inspection,"To display ND Inspection global configuration, use the show ipv6 nd inspection command in Privilege EXEC configuration mode."
show ipv6 nd inspection policy,"To display an IPv6 ND Inspection policy on all ports configured with the ND Inspection feature, use the show ipv6 nd inspection policy command in privileged EXEC mode."
show ipv6 nd raguard,"To display RA Guard global configuration, use the show ipv6 nd raguard command in Privilege EXEC configuration mode."
show ipv6 nd raguard policy,"To display a router advertisements (RAs) guard policy on all ports configured with the RA guard feature, use the show ipv6 nd raguard policy command in privileged EXEC mode."
show ipv6 neighbor binding,"To display Neighbor Binding global configuration, use the show ipv6 neighbor binding command in Privilege EXEC configuration mode."
show ipv6 neighbor binding policy,"To display Neighbor Binding policies, use the show ipv6 neighbor binding policy command in Privilege EXEC configuration mode."
show ipv6 neighbor binding prefix table,"To display contents of the Neighbor Prefix table, use the show ipv6 neighbor binding prefix table command in Privilege EXEC configuration mode."
show ipv6 neighbor binding table,"To display contents of the Binding table, use the show ipv6 neighbor binding table command in Privilege EXEC configuration mode."
show ipv6 source guard,"To display IPv6 Source Guard global configuration, use the show ipv6 source guard command in Privilege EXEC configuration mode."
show ipv6 source guard policy,"To display IPv6 Source Guard policies, use the show ipv6 source guard policy command in Privilege EXEC configuration mode."
trusted-port (IPv6 Source Guard),"To configure a port as trusted port within an IPv6 Source Guard policy, use the trusted-port command in IPv6 Source Guard Policy Configuration mode. To return to the default, use the no form of this command."
validate source-mac,"To enable checking the MAC addresses against the link-layer address within an IPv6 ND Inspection policy, use the validate source-mac command in ND Inspection Policy Configuration mode. To return to the default, use the no form of this command."
ipv6 multicast-routing,"To enable IPv6 Multicast routing on all IPv6-enabled interfaces of the router and to enable Multicast forwarding, use the ipv6 multicast-routing command in global configuration mode. To stop Multicast routing and forwarding, use the no form of this command."
ipv6 multicast-routing,"To enable IPv6 Multicast routing on all IPv6-enabled interfaces of the router and to enable Multicast forwarding, use the ipv6 multicast-routing command in global configuration mode. To stop Multicast routing and forwarding, use the no form of this command."
show ipv6 mroute,"To display the contents of the Multicast routing (mroute) table, use the show ipv6 mroute command in user EXEC or privileged EXEC mode."
show ipv6 multicast,"To display general information about IPv6 Multicast configuration, use the show ipv6 multicast command in user EXEC or privileged EXEC mode."
clear ipv6 prefix-list,Use the clear ipv6 prefix-list command in privileged EXEC mode to reset the hit count of the IPv6 prefix list entries.
ipv6 prefix-list,"Use the ipv6 prefix-list command in Global Configuration mode to create an entry in an IPv6 prefix list. To delete the entry, use the no form of this command."
show ipv6 prefix-list,Use the show ipv6 prefix-list command in user EXEC or privileged EXEC mode. to display information about an IPv6 prefix list or IPv6 prefix list entries.
iscsi enable,"To enable applying the quality of service profile to Internet Small Computer System Interface (iSCSI) flows, use the iscsi enable command in Global Configuration mode. To restore the default configuration, use the no form of the command."
iscsi flow,"To define an iSCSI flow, use the iscsi flow command in Global Configuration mode. To remove the iSCSI flow, use the no form of the command."
iscsi qos,"To define the quality of service profile applying to iSCSI flows, use the iscsi qos command in Global Configuration mode. To restore the default configuration, use the no form of the command."
show iscsi,"To display the iSCSI configuration, use the show iscsi command in User EXEC mode."
interface tunnel,"To enter into the Interface Configuration (Tunnel) mode, use the interface tunnel command in Global Configuration mode."
tunnel destination,"To specify the destination IPv4 address for the manual tunnel interface, use the tunnel destination command in Interface (Tunnel) Configuration mode. To remove the destination IPv4 address, use the no form of this command."
tunnel isatap solicitation-interval,"To set the time interval between unsolicited router solicitation messages, use the tunnel isatap solicitation-interval command in Global Configuration mode. To restore the default configuration, use the no form of this command."
tunnel isatap robustness,"To configure the number of router solicitation refresh messages that the device sends, use the tunnel isatap robustness command in Global Configuration mode. To restore the default configuration, use the no form of this command."
show ipv6 tunnel,"To display information on IPv6 tunnels, use the show ipv6 tunnel command in User EXEC mode."
autobaud,"To configure the line for automatic baud rate detection (autobaud), use the autobaud command in Line Configuration mode. Use the no form of this command to disable automatic baud rate detection."
exec-timeout,"To set the session idle time interval, during which the system waits for user input before automatic logoff, use the exec-timeout Line Configuration mode command. To restore the default configuration, use the no form of this command."
line,"To identify a specific line for configuration and enter the Line Configuration command mode, use the line Global Configuration mode command."
speed,"To set the line baud rate, use the speed command in Line Configuration mode. To restore the default configuration, use the no form of this command."
show line,"To display line parameters, use the show line Privileged EXEC mode command."
lacp port-priority,"To set the physical port priority, use the lacp port-priority Interface (Ethernet) Configuration mode command. To restore the default configuration, use the no form of this command."
lacp system-priority,"To set the system priority, use the lacp system-priority Global Configuration mode command. To restore the default configuration, use the no form of this command."
lacp timeout,"To assign an administrative LACP timeout to an interface, use the lacp timeout Interface (Ethernet) Configuration mode command. To restore the default configuration, use the no form of this command."
show lacp,"To display LACP information for all Ethernet ports or for a specific Ethernet port, use the show lacp Privileged EXEC mode command."
show lacp port-channel,"To display LACP information for a port-channel, use the show lacp port-channel Privileged EXEC mode command."
clear lldp statistics,Use the clear lldp statistics command in Privileged EXEC mode to clear LLDP statistics on device.
clear lldp table,"To clear the neighbors table for all ports or for a specific port, use the clear lldp table command in Privileged EXEC mode."
lldp chassis-id,"To configure the source of the chassis ID of the port, use the lldp chassis-id Global Configuration mode command. To restore the chassis ID source to default, use the no form of this command."
lldp hold-multiplier,"To specify how long the receiving device holds a LLDP packet before discarding it, use the lldp hold-multiplier Global Configuration mode command. To restore the default configuration, use the no form of this command."
lldp lldpdu,"To define LLDP packet handling when LLDP is globally disabled, use the lldp lldpdu Global Configuration mode command. To restore the default configuration, use the no form of this command."
lldp management-address,"To specify the management address advertised by an interface, use the lldp management-address Interface (Ethernet) Configuration mode command. To stop advertising management address information, use the no form of this command."
lldp med,"To enable or disable LLDP Media Endpoint Discovery (MED) on a port, use the lldp med Interface (Ethernet) Configuration mode command. To return to the default state, use the no form of this command."
lldp med notifications topology-change,"To enable sending LLDP MED topology change notifications on a port, use the lldp med notifications topology-change Interface (Ethernet) Configuration mode command. To restore the default configuration, use the no form of this command."
lldp med fast-start repeat-count,"When a port comes up, LLDP can send packets more quickly than usual using its fast-start mechanism. To configure the number of packets that is sent during the activation of the fast start mechanism, use the lldp med fast-start repeat-count Global Configuration mode command. To return to default, use the no form of this command."
lldp med location,"To configure the location information for the LLDP Media Endpoint Discovery (MED) for a port, use the lldp med location Interface (Ethernet) Configuration mode command. To delete location information for a port, use the no form of this command."
lldp med network-policy (global),"To define a LLDP MED network policy, use the lldp med network-policy Global Configuration mode command. For voice applications, it is simpler to use lldp med network-policy voice auto. The lldp med network-policy command creates the network policy, which is attached to a port by lldp med network-policy (interface). The network policy defines how LLDP packets are constructed. To remove LLDP MED network policy, use the no form of this command."
lldp med network-policy (interface),"To attach or remove an LLDP MED network policy on a port, use the lldp med network-policy Interface (Ethernet) Configuration mode command. Network policies are created in lldp med network-policy (global). To remove all the LLDP MED network policies from the port, use the no form of this command."
lldp med network-policy voice auto,"A network policy for voice LLDP packets can be created by using the lldp med network-policy (global). The lldp med network-policy voice auto Global Configuration mode is simpler in that it uses the configuration of the Voice application to create the network policy instead of the user having to manually configure it. This command generates an LLDP MED network policy for voice, if the voice VLAN operation mode is auto voice VLAN. The voice VLAN, 802.1p priority, and the DSCP of the voice VLAN are used in the policy. To disable this mode, use the no form of this command. The network policy is attached automatically to the voice VLAN."
lldp notifications,"To enable/disable sending LLDP notifications on an interface, use the lldp notifications Interface (Ethernet) Configuration mode command. To restore the default configuration, use the no form of this command."
lldp notifications interval,"To configure the maximum transmission rate of LLDP notifications, use the lldp notifications interval Global Configuration mode command. To return to the default, use the no form of this command."
lldp optional-tlv,"To specify which optional TLVs are transmitted, use the lldp optional-tlv Interface (Ethernet) Configuration mode command. To restore the default configuration, use the no form of this command."
lldp optional-tlv 802.1,"To specify whether to transmit the 802.1 TLV, use the lldp optional-tlv 802.1 Interface (Ethernet) Configuration mode command. To revert to the default setting, use the no form of this command."
lldp run,"To enable LLDP, use the lldp run Global Configuration mode command. To disable LLDP, use the no form of this command."
lldp receive,"To enable receiving LLDP on an interface, use the lldp receive Interface (Ethernet) Configuration mode command. To stop receiving LLDP on an Interface (Ethernet) Configuration mode interface, use the no form of this command."
lldp reinit,"To specify the minimum time an LLDP port waits before reinitializing LLDP transmission, use the lldp reinit Global Configuration mode command. To revert to the default setting, use the no form of this command."
lldp timer,"To specify how often the software sends LLDP updates, use the lldp timer Global Configuration mode command. To restore the default configuration, use the no form of this command."
lldp transmit,"To enable transmitting LLDP on an interface use the lldp transmit Interface (Ethernet) Configuration mode command. Use the no form of this command to stop transmitting LLDP on an interface,"
lldp tx-delay,"To set the delay between successive LLDP frame transmissions initiated by value/status changes in the LLDP local systems MIB, use the lldp tx-delay Global Configuration mode command. To restore the default configuration, use the no form of this command."
show lldp configuration,"To display the LLDP configuration for all ports or for a specific port, use the show lldp configuration Privileged EXEC mode command."
show lldp local,"To display the LLDP information that is advertised from a specific port, use the show lldp local Privileged EXEC mode command."
show lldp local tlvs-overloading,"When an LLDP packet contains too much information for one packet, this is called overloading. To display the status of TLVs overloading of the LLDP on all ports or on a specific port, use the show lldp local tlvs-overloading EXEC mode command."
show lldp med configuration,"To display the LLDP Media Endpoint Discovery (MED) configuration for all ports or for a specific port, use the show lldp med configuration Privileged EXEC mode command."
show lldp neighbors,"To display information about neighboring devices discovered using LLDP, use the show lldp neighbors Privileged EXEC mode command. The information can be displayed for all ports or for a specific port."
show lldp statistics,"To display LLDP statistics on all ports or a specific port, use the show lldp statistics EXEC mode command."
loopback-detection enable (Global),"To enable the Loopback Detection (LBD) feature globally, use the loopback-detection enable Global Configuration mode command. To disable the Loopback Detection feature, use the no form of this command."
loopback-detection enable (Interface),"To enable the Loopback Detection (LBD) feature on an interface, use the loopback-detection enable Interface (Ethernet, Port Channel) Configuration mode command. To disable the Loopback Detection feature on the interface, use the no form of this command."
loopback-detection interval,"To set the time interval between LBD packets, use the loopback-detection interval Global Configuration mode command. To restore the default configuration, use the no form of this command."
show loopback-detection,"To display information about Loopback Detection, use the show loopback-detection Privileged EXEC mode command."
macro name,"Use the macro name Global Configuration mode command to define a macro. There are two types of macros that can be defined: Global macros define a group of CLI commands that can be run at any time. Smartport macros are associated with Smartport types. For each Smartport macro there must be an anti macro (a macro whose name is concatenated with no_). The anti macro reverses the action of the macro. If a macro with this name already exists, it overrides the previously-defined one. Use the no form of this command to delete the macro definition."
macro,Use the macro apply/trace Interface Configuration command to either: Apply a macro to an interface without displaying the actions being performed Apply a macro to the interface while displaying the actions being performed
macro description,"Use the macro description Interface Configuration mode command to append a description, for example, a macro name, to the macro history of an interface. Use the no form of this command to clear the macro history of an interface. When the macro is applied to an interface, the switch automatically generates a macro description command with the macro name. As a result, the name of the macro is appended to the macro history of the interface."
macro global,Use the macro global Global Configuration command to apply a macro to a switch (with or without the trace option).
macro global description,Use the macro global description Global Configuration command to enter a description which is used to indicate which macros have been applied to the switch. Use the no form of this command to remove the description.
show parser macro,Use the show parser macro User EXEC mode command to display the parameters for all configured macros or for one macro on the switch.
deny (Management),"To set permit rules (ACEs) for the management access list (ACL), use the deny Management Access-list Configuration mode command."
permit (Management),"To set permit rules (ACEs) for the management access list (ACL), use the permit Management Access-list Configuration mode command."
management access-list,"To configure a management access list (ACL) and enter the Management Access-list Configuration mode, use the management access-list Global Configuration mode command. To delete an ACL, use the no form of this command."
management access-class,"To restrict management connections by defining the active management access list (ACL), use the management access-class Global Configuration mode command. To disable management connection restrictions, use the no form of this command."
show management access-list,"To display management access lists (ACLs), use the show management access-list Privileged EXEC mode command."
show management access-class,"To display information about the active management access list (ACLs), use the show management access-class Privileged EXEC mode command."
clear ipv6 mld counters,"To clear the Multicast Listener Discovery (MLD) interface counters, use the clear ipv6 mld counters command in Privileged EXEC mode."
ipv6 mld last-member-query-count,"To configure the Multicast Listener Discovery (MLD) last member query counter, use the ipv6 mld last-member-query-count command in Interface Configuration mode. To restore the default value, use the no form of this command."
ipv6 mld last-member-query-interval,"To configure the Multicast Listener Discovery (MLD) last member query interval, use the ipv6 mld last-member-query-interval command in Interface Configuration mode. To restore the default MLD query interval, use the no form of this command."
