command,syntax_products
service-acl output,"[('service-acl output acl-name1 [acl-name2] [default-action {deny-any | permit-any}]', 'cbs_250, cbs_350, cat_1300'), ('no service-acl output', 'cbs_250, cbs_350, cat_1300')]"
service-policy,"[('service-policy input policy-map-name', 'cbs_220'), ('no service-policy input', 'cbs_220'), ('service-policy {input | output} policy-map-name [default-action {permit-any | deny-any}]', 'cbs_250, cbs_350, cat_1300'), ('no service-policy input | output', 'cbs_250, cbs_350, cat_1300'), ('service-policy {input | output} policy-map-name', 'cbs_250, cbs_350, cat_1300')]"
set,"[('set queue queue-id', 'cbs_220'), ('no set queue', 'cbs_220'), ('set {dscp new-dscp | queue queue-id | cos new-cos}', 'cbs_250, cbs_350, cat_1300'), ('no set', 'cbs_250, cbs_350, cat_1300')]"
set ip next-hop,"[('set ip next-hop next-hop', 'cbs_350, cat_1300'), ('no set ip next-hop', 'cbs_350, cat_1300')]"
set ipv6 next-hop,"[('set ipv6 next-hop next-hop', 'cbs_350, cat_1300'), ('no set ipv6 next-hop', 'cbs_350, cat_1300')]"
sflow counters-sampling,"[('sflow counters-sampling interval receiver-index', 'cbs_350, cat_1300'), ('no sflow counters-sampling', 'cbs_350, cat_1300')]"
sflow flow-sampling,"[('sflow flow-sampling rate receiver-index [max-header-size bytes]', 'cbs_350, cat_1300'), ('no sflow flow-sampling', 'cbs_350, cat_1300')]"
sflow receiver,"[('sflow receiver index {ipv4-address | ipv6-address | hostname} [port port] [max-datagram-size bytes]', 'cbs_350, cat_1300'), ('no sflow receiver index', 'cbs_350, cat_1300')]"
sflow receiver source-interface,"[('sflow receiver source-interface interface-id', 'cbs_350, cat_1300'), ('no sflow receiver source-interface', 'cbs_350, cat_1300')]"
sflow receiver source-interface-ipv6,"[('sflow receiver source-interface-ipv6 interface-id', 'cbs_350, cat_1300'), ('no sflow receiver source-interface-ipv6', 'cbs_350, cat_1300')]"
show access-lists,"[('show {ip | ipv6 | mac} access-lists [acl-name]', 'cbs_220'), ('show access-lists', 'cbs_220'), ('show access-lists [name]', 'cbs_250, cbs_350, cat_1300'), ('show access-liststime-range-active [name]', 'cbs_250, cbs_350'), ('show access-lists time-range-active [name]', 'cat_1300')]"
show arp,"[('show arp', 'cbs_220'), ('show arp [ip-address ip-address] [mac-address mac-address] [interface-id]', 'cbs_250, cbs_350, cat_1300')]"
show banner,"[('show banner {login | exec}', 'cbs_220'), ('show banner login', 'cbs_250, cbs_350, cat_1300'), ('show banner exec', 'cbs_250, cbs_350, cat_1300')]"
show bonjour,"[('show bonjour', 'cbs_220'), ('show bonjour [interface-id]', 'cbs_250, cbs_350, cat_1300')]"
show bootvar / show version,"[('show bootvar', 'cbs_250, cbs_350, cat_1300'), ('show version', 'cbs_250, cbs_350, cat_1300')]"
show bridge multicast address-table,"[('show bridge multicast address-table [vlan vlan-id]', 'cbs_250, cbs_350, cat_1300'), ('show bridge multicast address-table [vlan vlan-id] [address mac-multicast-address] [format {ip | mac}]', 'cbs_250, cbs_350, cat_1300'), ('show bridge multicast address-table [vlan vlan-id] [address ipv4-multicast-address] [source ipv4-source-address]', 'cbs_250, cbs_350, cat_1300'), ('show bridge multicast address-table [vlan vlan-id] [address ipv6-multicast-address] [source ipv6-source-address]', 'cbs_250, cbs_350, cat_1300')]"
show bridge multicast address-table static,"[('show bridge multicast address-table static [vlan vlan-id] [all]', 'cbs_250, cbs_350, cat_1300'), ('show bridge multicast address-table static [vlan vlan-id] [address mac-multicast-address] [mac| ip]', 'cbs_250, cbs_350, cat_1300'), ('show bridge multicast address-table static [vlan vlan-id] [address ipv4-multicast-address] [source ipv4-source-address]', 'cbs_250, cbs_350, cat_1300'), ('show bridge multicast address-table static [vlan vlan-id] [address ipv6-multicast-address] [source ipv6-source-address]', 'cbs_250, cbs_350, cat_1300')]"
show cable-diagnostics cable-length,"[('show cable-diagnostics cable-length {interfaces interface-id}', 'cbs_220'), ('show cable-diagnostics cable-length [interface interface-id]', 'cbs_250, cbs_350, cat_1300')]"
show cdp entry,"[('show cdp entry {* | WORD} [protocol | version]', 'cbs_220'), ('show cdp entry {* | device-name} [protocol | version]', 'cbs_250, cbs_350, cat_1300')]"
show cdp neighbors,"[('show cdp neighbors [interface-id] [detail]', 'cbs_220'), ('show cdp neighbors [interface-id] [detail | secondary]', 'cbs_250, cbs_350, cat_1300')]"
show cdp tlv,"[('show cdp tlv interface-id', 'cbs_220'), ('show cdp tlv [interface-id]', 'cbs_250, cbs_350, cat_1300')]"
show dot1x,"[('show dot1x [interfaces interface-id]', 'cbs_220'), ('show dot1x [interface interface-id | detailed]', 'cbs_250, cbs_350, cat_1300')]"
show fiber-ports optical-transceiver,"[('show fiber-ports optical-transceiver interfaces interface-id [detailed]', 'cbs_220'), ('show fiber-ports optical-transceiver [interface interface-id]', 'cbs_250, cbs_350, cat_1300')]"
show gvrp configuration,"[('show gvrp configuration [interfaces interface-id ]', 'cbs_220'), ('show gvrp configuration [interface-id | detailed]', 'cbs_250, cbs_350, cat_1300')]"
show gvrp error-statistics,"[('show gvrp error-statistics [interfaces interface-id]', 'cbs_220'), ('show gvrp error-statistics [interface-id]', 'cbs_250, cbs_350, cat_1300')]"
show gvrp statistics,"[('show gvrp statistics [interfaces interface-id]', 'cbs_220'), ('show gvrp statistics [interface-id]', 'cbs_250, cbs_350, cat_1300')]"
show hosts,"[('show hosts', 'cbs_220'), ('show hosts [all | hostname]', 'cbs_250, cbs_350, cat_1300')]"
show interfaces protected-ports,"[('show interfaces protected-ports interface-id', 'cbs_220'), ('show interfaces protected-ports [interface-id | detailed]', 'cbs_250, cbs_350, cat_1300')]"
show interfaces switchport,"[('show interfaces switchport interface-list', 'cbs_220'), ('show interfaces switchport [interface-id]', 'cbs_250, cbs_350, cat_1300')]"
show ip arp inspection,"[('show ip arp inspection', 'cbs_220'), ('show ip arp inspection [interface-id]', 'cbs_350, cat_1300')]"
show ip arp inspection statistics,"[('show ip arp inspection statistics [VLAN VLAN-LIST]', 'cbs_220'), ('show ip arp inspection statistics [vlan vlan-id]', 'cbs_350, cat_1300')]"
show ip dhcp snooping,"[('show ip dhcp snooping', 'cbs_220'), ('show ip dhcp snooping [interface-id]', 'cbs_350, cat_1300')]"
show ip dhcp snooping binding,"[('show ip dhcp snooping binding', 'cbs_220'), ('show ip dhcp snooping binding [mac-address mac-address] [ip-address ip-address] [vlan vlan-id] [interface-id]', 'cbs_350, cat_1300')]"
show ip igmp snooping groups,"[('show ip igmp snooping groups [counters | dynamic | static]', 'cbs_220'), ('show ip igmp snooping groups [vlan vlan-id] [address ip-multicast-address] [source ip-address]', 'cbs_250, cbs_350, cat_1300')]"
show ip igmp snooping mrouter,"[('show ip igmp snooping mrouter [dynamic | static | forbidden]', 'cbs_220'), ('show ip igmp snooping mrouter [interface vlan-id]', 'cbs_250, cbs_350, cat_1300')]"
show ip ssh-client,"[('show ip ssh-client', 'cbs_250, cbs_350, cat_1300'), ('show ip ssh-client {mypubkey | key} {dsa | rsa}', 'cbs_250, cbs_350, cat_1300')]"
show ipv6 mld snooping groups,"[('show ipv6 mld snooping groups [{dynamic | static} | counters]', 'cbs_220'), ('show ipv6 mld snooping groups [vlan vlan-id] [address ipv6-multicast-address] [source ipv6-address]', 'cbs_250, cbs_350, cat_1300')]"
show ipv6 mld snooping mrouter,"[('show ipv6 mld snooping mrouter [dynamic | static | forbidden]', 'cbs_220'), ('show ipv6 mld snooping mrouter [interface vlan-id]', 'cbs_250, cbs_350, cat_1300')]"
show ipv6 prefix-list,"[('show ipv6 prefix-list [detail [list-name] | summary [list-name]', 'cbs_250, cbs_350, cat_1300'), ('show ipv6 prefix-list list-name ipv6-prefix/prefix-length [longer | first-match]', 'cbs_250, cbs_350, cat_1300'), ('show ipv6 prefix-list list-name seq seq-num', 'cbs_250, cbs_350, cat_1300')]"
show lacp,"[('show lacp sys-id', 'cbs_220'), ('show lacp [channel-group-number] counters', 'cbs_220'), ('show lacp [channel-group-number] {internal | neighbor} [detail]', 'cbs_220'), ('show lacp interface-id [parameters | statistics | protocol-state]', 'cbs_250, cbs_350, cat_1300')]"
show lldp statistics,"[('show lldp [interfaces interface-id] statistics', 'cbs_220'), ('show lldp statistics [interface-id | detailed]', 'cbs_250, cbs_350, cat_1300')]"
show logging,"[('show logging [buffered | file]', 'cbs_220'), ('show logging', 'cbs_250, cbs_350, cat_1300')]"
show loopback-detection,"[('show loopback-detection [interfaces interface-id]', 'cbs_220'), ('show loopback-detection [interface-id | detailed]', 'cbs_250, cbs_350, cat_1300')]"
show mac address-table,"[('show mac address-table [dynamic | static] [interfaces interface-id] [vlan vlan]', 'cbs_220'), ('show mac address-table [mac-address] [vlan vlan]', 'cbs_220'), ('show mac address-table [dynamic | static | secure] [vlan vlan] [interface interface-id] [address mac-address]', 'cbs_250, cbs_350, cat_1300')]"
show power inline,"[('show power inline [interface-id]', 'cbs_220'), ('show power inline [interface-id | module unit-id]', 'cbs_250, cbs_350, cat_1300')]"
show power inline monitor consumption,"[('show power inline monitor consumption [interface-id ] {minutes|hours | days |weeks}', 'cbs_250, cbs_350'), ('show power inline monitor consumption {interface interface-id | Unit unit-id} {minutes|hours | days |weeks}', 'cat_1300')]"
show qos aggregate-policer,"[('show qos aggregate-policer [aggregate-policer-name ]', 'cbs_220'), ('show qos aggregate-policer [aggregate-policer-name]', 'cbs_250, cbs_350, cat_1300')]"
show qos map,"[('show qos map [{cos-queue | dscp-queue | ip-precedence-queue | queue-cos | queue-dscp | queue-precedence}]', 'cbs_220'), ('show qos map [dscp-queue | dscp-dp| dscp-mutation | policed-dscp | policed-cos]', 'cbs_250, cbs_350, cat_1300')]"
show queue statistics,"[('show queue statistics [interface-id]', 'cbs_250, cbs_350'), ('show queue statistics [interface-id] [detailed]', 'cat_1300')]"
show rate-limit vlan,"[('show rate-limit vlan vlan-id', 'cbs_220'), ('show rate-limit vlan [vlan-id]', 'cbs_250, cbs_350, cat_1300')]"
show rmon alarm,"[('show rmon alarm {all | index}', 'cbs_220'), ('show rmon alarm number', 'cbs_250, cbs_350, cat_1300')]"
show rmon history,"[('show rmon history {all | index } [statistic]', 'cbs_220'), ('show rmon history index {throughput | errors | other} [period seconds]', 'cbs_250, cbs_350, cat_1300')]"
show running-config,"[('show running-config [interfaces interface-list]', 'cbs_220'), (None, 'cbs_250, cbs_350, cat_1300')]"
show security-suite syn protection,"[('show security-suite syn protection', 'cbs_220'), ('show security-suite syn protection [interface-id]', 'cbs_250, cbs_350, cat_1300')]"
show spanning-tree,"[('show spanning-tree', 'cbs_220'), ('show spanning-tree [interface-id] [{instance instance-id} | {vlan vlan-id}]', 'cbs_250, cbs_350, cat_1300'), ('show spanning-tree [detail] [active | blockedports] [{instance instance-id} | {vlan vlan-id}]', 'cbs_250, cbs_350, cat_1300'), ('show spanning-tree inconsistentports', 'cbs_250, cbs_350, cat_1300'), ('show spanning-tree mst-configuration', 'cbs_250, cbs_350, cat_1300'), ('show spanning-tree mst-configuration digest', 'cbs_250, cbs_350, cat_1300')]"
show startup-config,"[('show startup-config', 'cbs_220'), ('show startup-config [interface interface-id-list]', 'cbs_250, cbs_350, cat_1300')]"
show switchport monitor,"[('show switchport monitor interface-id {seconds | minutes | hours | days |weeks} [utilization | tx | rx | frames]', 'cbs_250, cbs_350, cat_1300'), ('show switchport monitor interface-id {days |weeks}', 'cbs_250, cbs_350, cat_1300'), ('show switchport monitor utilization [interface-id]', 'cbs_250, cbs_350, cat_1300')]"
show tacacs,"[('show tacacs', 'cbs_220'), ('show tacacs [ip-address]', 'cbs_350, cat_1300')]"
show tech-support,"[('show tech-support [modules]', 'cbs_220'), ('show tech-support [config | memory ]', 'cbs_250, cbs_350, cat_1300')]"
show time-range,"[('show time-range [NAME]', 'cbs_220'), ('show time-range time-range-name', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300')]"
show vlan,"[('show vlan [VLAN-LIST | dynamic | static]', 'cbs_220'), ('show vlan VLAN-LIST [interfaces interface-id membership]', 'cbs_220'), ('show vlan [tag vlan-id | name vlan-name]', 'cbs_250, cbs_350, cat_1300')]"
show voice vlan,"[('show voice vlan [type {auto | oui}] [interfaces interface-id]', 'cbs_220'), ('show voice vlan [type {oui [{interface-id | detailed}] | auto}]', 'cbs_250, cbs_350, cat_1300')]"
shutdown,"[('shutdown', 'cbs_220, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no shutdown', 'cbs_220, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), (None, 'cat_1300')]"
smartport storm-control,"[('smartport storm-control broadcast {level level | kbps kbps} [trap] [shutdown]', 'cbs_250, cbs_350, cat_1300'), ('no smartport storm-control broadcast', 'cbs_250, cbs_350, cat_1300'), ('smartport storm-control multicast [registred | unregistred] {level level | kbps kbps} [trap] [shutdown]', 'cbs_250, cbs_350, cat_1300'), ('no smartport storm-control multicast', 'cbs_250, cbs_350, cat_1300'), ('smartport storm-control unicast {level level | kbps kbps} [trap] [shutdown]', 'cbs_250, cbs_350, cat_1300'), ('no smartport storm-control unicast', 'cbs_250, cbs_350, cat_1300'), ('no smartport storm-control', 'cbs_250, cbs_350, cat_1300')]"
snmp trap link-status,"[('snmp trap link-status', 'cbs_250, cbs_350, cat_1300'), ('no snmp trap link-status', 'cbs_250, cbs_350, cat_1300')]"
snmp-server,"[('snmp-server', 'cbs_220'), ('no snmp-server', 'cbs_220')]"
snmp-server community,"[('snmp-server community community-string [view view-name] {ro | rw}', 'cbs_220'), ('snmp-server community community-string group group-name', 'cbs_220'), ('no snmp-server community community-string', 'cbs_220'), ('snmp-server community community-string [ro | rw | su] [ip-address | ipv6-address] [mask mask | prefix prefix-length] [view view-name] [type {router | oob}]', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server community community-string [ip-address] [type {router | oob}]', 'cbs_250, cbs_350, cat_1300')]"
snmp-server contact,"[('snmp-server contact contact', 'cbs_220'), ('snmp-server contact text', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server contact', 'cbs_250, cbs_350, cat_1300')]"
snmp-server enable traps,"[('snmp-server enable traps', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server enable traps', 'cbs_250, cbs_350, cat_1300')]"
snmp-server engineID local,"[('snmp-server engineID local {engineid-string | default}', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server engineID local', 'cbs_250, cbs_350, cat_1300')]"
snmp-server engineID remote,"[('snmp-server engineID remote ip-address engineid-string', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server engineID remote ip-address', 'cbs_250, cbs_350, cat_1300')]"
snmp-server filter,"[('snmp-server filter filter-name oid-tree {included | excluded}', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server filter filter-name [oid-tree]', 'cbs_250, cbs_350, cat_1300')]"
snmp-server group,"[('snmp-server group groupname {v1 | v2c | v3} {noauth | auth | priv} read-view readview write-view writeview [notify-view notifyview]', 'cbs_220'), ('no snmp-server group groupname {v1 | v2c | v3} {noauth | auth | priv}', 'cbs_220'), ('snmp-server group groupname {v1 | v2 | v3 {noauth | auth | priv} [notify notifyview]} [read readview] [write writeview]', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server group groupname {v1 | v2 | v3 [noauth | auth | priv]}', 'cbs_250, cbs_350, cat_1300')]"
snmp-server host,"[('snmp-server host {ipv4address | hostname | ipv6address} [traps | informs] [version {1 | 2c | 3} [noauth | auth | priv] community-string [udp-port port-number ] [timeout timeout-value] [retries retry-time]', 'cbs_220'), ('no snmp-server host {ipv4address | hostname | ipv6address}', 'cbs_220'), ('snmp-server host {host-ip | hostname} [traps | informs] [version {1 | 2c | 3 [auth | noauth | priv]}] community-string [udp-port port] [filter filtername] [timeout seconds] [retries retries]', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server host {ip-address | hostname} [traps | informs] [version {1 | 2c | 3}]', 'cbs_250, cbs_350, cat_1300')]"
snmp-server location,"[('snmp-server location location', 'cbs_220'), ('snmp-server location text', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server location', 'cbs_250, cbs_350, cat_1300')]"
snmp-server server,"[('snmp-server server', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server server', 'cbs_250, cbs_350, cat_1300')]"
snmp-server source-interface,"[('snmp-server source-interface {traps | informs} interface-id', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server source-interface [traps | informs]', 'cbs_250, cbs_350, cat_1300')]"
snmp-server source-interface-ipv6,"[('snmp-server source-interface-ipv6 {traps | informs} interface-id', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server source-interface-ipv6 [traps | informs]', 'cbs_250, cbs_350, cat_1300')]"
snmp-server trap,"[('snmp-server trap [auth | cold-start | linkUpDown | port-security | warm-start]', 'cbs_220'), ('no snmp-server trap [auth | cold-start | linkUpDown | port-security | warm-start]', 'cbs_220')]"
snmp-server trap authentication,"[('snmp-server trap authentication', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server trap authentication', 'cbs_250, cbs_350, cat_1300')]"
snmp-server user,"[('snmp-server user username groupname [auth {sha | sha224 | sha256 | sha384 | sha512} AUTHPASSWD]', 'cbs_220'), ('snmp-server user username groupname auth {sha | sha224 | sha256 | sha384 | sha512} AUTHPASSWD priv PRIVPASSWD', 'cbs_220'), ('no snmp-server user username', 'cbs_220'), ('snmp-server user username groupname {v1 | v2c | [remote host] v3[auth { sha | sha224| sha256| sha384| sha512} auth-password [priv priv-password]}', 'cbs_250, cbs_350, cat_1300'), ('encrypted snmp-server user username groupname {v1 | v2c | [remote host] v3[auth { sha | sha224| sha256| sha384| sha512} encrypted-auth-password [priv encrypted-priv-password]}', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server user username {v1 | v2c | [remote host] v3}', 'cbs_250, cbs_350, cat_1300')]"
snmp-server view,"[('snmp-server view view-name subtree oid-tree oid-mask {all | MASK} viewtype {included | excluded}', 'cbs_220'), ('no snmp-server view view-name subtree [oid-tree | all]', 'cbs_220'), ('snmp-server view view-name oid-tree {included | excluded}', 'cbs_250, cbs_350, cat_1300'), ('no snmp-server view view-name [oid-tree]', 'cbs_250, cbs_350, cat_1300')]"
sntp authenticate,"[('sntp authenticate', 'cbs_250, cbs_350, cat_1300'), ('no sntp authenticate', 'cbs_250, cbs_350, cat_1300')]"
sntp authentication-key,"[('sntp authentication-key key-number md5 key-value', 'cbs_250, cbs_350, cat_1300'), ('encrypted sntp authentication-key key-number md5 encrypted-key-value', 'cbs_250, cbs_350, cat_1300'), ('no sntp authentication-key key-number', 'cbs_250, cbs_350, cat_1300')]"
sntp broadcast client enable,"[('sntp broadcast client enable [both | ipv4 | ipv6]', 'cbs_250, cbs_350, cat_1300'), ('no sntp broadcast client enable', 'cbs_250, cbs_350, cat_1300')]"
sntp client enable,"[('sntp client enable interface-id', 'cbs_250, cbs_350, cat_1300'), ('no sntp client enable interface-id', 'cbs_250, cbs_350, cat_1300')]"
sntp client enable (interface),"[('sntp client enable', 'cbs_250, cbs_350, cat_1300'), ('no sntp client enable', 'cbs_250, cbs_350, cat_1300')]"
sntp server,"[('sntp server {ip-address | hostname} [port port-number]', 'cbs_220'), ('no sntp', 'cbs_220'), ('sntp server {default | {ip-address | hostname} [poll] [key keyid]}', 'cbs_250, cbs_350, cat_1300'), ('no sntp server [ip-address | hostname]', 'cbs_250, cbs_350, cat_1300')]"
sntp source-interface,"[('sntp source-interface interface-id', 'cbs_250, cbs_350, cat_1300'), ('no sntp source-interface', 'cbs_250, cbs_350, cat_1300')]"
sntp source-interface-ipv6,"[('sntp source-interface-ipv6 interface-id', 'cbs_250, cbs_350, cat_1300'), ('no sntp source-interface-ipv6', 'cbs_250, cbs_350, cat_1300')]"
sntp trusted-key,"[('sntp trusted-key key-number', 'cbs_250, cbs_350, cat_1300'), ('no sntp trusted-key key-number', 'cbs_250, cbs_350, cat_1300')]"
sntp unicast client enable,"[('sntp unicast client enable', 'cbs_250, cbs_350, cat_1300'), ('no sntp unicast client enable', 'cbs_250, cbs_350, cat_1300')]"
sntp unicast client poll,"[('sntp unicast client poll', 'cbs_250, cbs_350, cat_1300'), ('no sntp unicast client poll', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree,"[('spanning-tree', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree bpdu (Global),"[('spanning-tree bpdu {filtering | flooding}', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree bpdu', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree bpdu (Interface),"[('spanning-tree bpdu {filtering | flooding}', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree bpdu', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree bpdu-filter (Interface),"[('spanning-tree bpdu-filter {disable | enable}', 'cbs_220'), ('no spanning-tree bpdu-filter', 'cbs_220')]"
spanning-tree bpdu-guard (Interface),"[('spanning-tree bpdu-guard {disable | enable}', 'cbs_220'), ('no spanning-tree bpdu-guard', 'cbs_220')]"
spanning-tree bpduguard,"[('spanning-tree bpduguard {enable | disable}', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree bpduguard', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree cost,"[('spanning-tree cost cost', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree cost', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree cost (Interface),"[('spanning-tree cost cost', 'cbs_220'), ('no spanning-tree cost', 'cbs_220')]"
spanning-tree disable,"[('spanning-tree disable', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree disable', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree forward-time,"[('spanning-tree forward-time seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree forward-time', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree guard root,"[('spanning-tree guard root', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree guard root', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree hello-time,"[('spanning-tree hello-time seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree hello-time', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree link-type,"[('spanning-tree link-type {point-to-point | shared}', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree spanning-tree link-type', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree link-type (Interface),"[('spanning-tree link-type {point-to-point | shared}', 'cbs_220'), ('no spanning-tree link-type', 'cbs_220')]"
spanning-tree loopback-guard,"[('spanning-tree loopback-guard', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree loopback-guard', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree max-age,"[('spanning-tree max-age seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree max-age', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree max-hops,"[('spanning-tree max-hops hop-count', 'cbs_220'), ('no spanning-tree max-hops', 'cbs_220')]"
spanning-tree mode,"[('spanning-tree mode {mstp | rstp | stp}', 'cbs_220'), ('spanning-tree mode {stp| rstp | mst | pvst | rapid-pvst}', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree mode', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree mst cost,"[('spanning-tree mst instance-id cost cost', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree mst instance-id cost', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree mst instance,"[('spanning-tree mst instance instance-id', 'cat_1300'), ('no spanning-tree mst instance instance-id', 'cat_1300')]"
spanning-tree mst max-hops,"[('spanning-tree mst max-hops hop-count', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree mst max-hops', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree mst port-priority,"[('spanning-tree mst instance-id port-priority priority', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree mst instance-id port-priority', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree mst priority,"[('spanning-tree mst instance-id priority priority', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree mst instance-id priority', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree pathcost method,"[('spanning-tree pathcost method {long | short}', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree pathcost method', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree port-priority,"[('spanning-tree port-priority priority', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree port-priority', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree portfast,"[('spanning-tree portfast', 'cbs_220'), ('no spanning-tree portfast', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('spanning-tree portfast [auto]', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree priority,"[('spanning-tree priority priority', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no spanning-tree priority', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
spanning-tree tx-hold-count,"[('spanning-tree tx-hold-count value', 'cbs_220'), ('no spanning-tree tx-hold-count', 'cbs_220')]"
spanning-tree vlan cost,"[('spanning-tree vlan vlan-range cost cost', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree vlan vlan-range cost', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree vlan forward-time,"[('spanning-tree vlan vlan-range forward-time seconds', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree vlan vlan-range forward-time', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree vlan hello-time,"[('spanning-tree vlan vlan-range hello-time seconds', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree vlan vlan-range hello-time', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree vlan max-age,"[('spanning-tree vlan vlan-range max-age seconds', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree vlan vlan-range max-age', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree vlan port-priority,"[('spanning-tree vlan vlan-range port-priority priority', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree vlan vlan-range port-priority', 'cbs_250, cbs_350, cat_1300')]"
spanning-tree vlan priority,"[('spanning-tree vlan vlan-range priority priority', 'cbs_250, cbs_350, cat_1300'), ('no spanning-tree vlan vlan-range priority', 'cbs_250, cbs_350, cat_1300')]"
speed,"[('speed {10 | 100 | 1000 | 10000 | auto}', 'cbs_220'), ('speed bps', 'cbs_220, cbs_350, cat_1300'), ('no speed', 'cbs_220, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('speed {100 | 1000 | 2500 | 5000 | 10000}', 'cbs_250, cbs_350, cat_1300')]"
ssd file integrity control,"[('ssd file integrity control enabled', 'cbs_250, cbs_350, cat_1300'), ('no ssd file integrity control', 'cbs_250, cbs_350, cat_1300')]"
ssd file passphrase control,"[('ssd file passphrase control {restricted | unrestricted}', 'cbs_250, cbs_350, cat_1300'), ('no ssd file passphrase control', 'cbs_250, cbs_350, cat_1300')]"
ssd rule,"[('[encrypted] SSD rule {all | level-15 | default-user | user user-name}', 'cbs_250, cbs_350, cat_1300'), ('{secure | insecure | secure-xml-snmp | insecure-xml-snmp}', 'cbs_250, cbs_350, cat_1300'), ('permission {encrypted-only | plaintext-only | both | exclude}', 'cbs_250, cbs_350, cat_1300'), ('default-read {encrypted | plaintext | exclude}', 'cbs_250, cbs_350, cat_1300'), ('no ssd rule [ {all | level-15 | default-user | user user-name}', 'cbs_250, cbs_350, cat_1300'), ('{secure | insecure | secure-xml-snmp | insecure-xml-snmp}]', 'cbs_250, cbs_350, cat_1300')]"
